BOOT  3.18 13.43 270 KMR221GLFS KMR221GLFS
C1 13.94 52.83 270 1u C0805
C2 16.51 52.80 270 1u C0805
C3 19.05 52.80 270 1u C0805
C4 21.59 52.80 270 1u C0805
C5 24.13 52.80 270 1u C0805
C6 26.67 52.80 270 1u C0805
C8 31.75 52.80 270 100n C0805
C9 39.37 52.80 270 1u C0805
C10 26.67 47.72 270 4u7 C0805
C11 29.21 52.80 270 1u C0805
C12 21.65 37.08   0 4u7 C0805
C13 19.34 26.77   0 10u C0805
C14 19.34 24.73 180 10u C0805
C15 36.29 28.80 180 1u C0805
C16 48.64 17.97   0 10u C0805
C17 49.53 52.80 270 1u C0805
C18 54.61 52.80  90 100n C0805
C19 58.42 52.80  90 10u C0805
C20 24.61 24.73 180 10u C0805
C22 26.13 39.40   0 1u C0805
CR2032  8.89 40.73 270  CR2032_SMT_BAT-HLD-001
D1 21.59 47.72 270 MBR0520LT SOD123
D2 19.05 47.72  90 MBR0520LT SOD123
D3 24.13 47.72 270 MBR0520LT SOD123
D4 24.61 16.95 270 ORANGE CHIPLED_0805_NOOUTLINE
D5 29.65 18.64   0 MBR0520LT SOD123
IC1 18.45 17.81 180 MCP73831 SOT95P290X120-5
J1 53.49 23.08  90 TYPE-C-31-M-12 TYPE-C-31-M-12
L1 21.59 41.37  90 68uH L4532P
LED2 42.61 24.61 180 WS2812B5050 WS2812B
LED3 35.85 24.61 180 WS2812B5050 WS2812B
LED4 35.81 18.64 180 WS2812B5050 WS2812B
LED5 42.61 18.64 180 WS2812B5050 WS2812B
Q1 25.56 42.64  90 SI1308EDL-T1-GE3 MOSFET_8EDL-T1-GE3_VIS
Q2 18.45 21.69   0 DMG3415U-7 SOT23-R
Q3 26.13 34.54   0 DMG3415U-7 SOT23-R
R1 46.99 52.80 270 10k R0805
R2 44.45 52.80 270 0.47 R0805
R3 34.29 52.80  90 0 R0805
R5 21.65 34.54 180 100k R0805
R6 24.61 18.69 180 1k R0805
R7 15.34 24.73   0 10k R0805
R8 52.07 52.80 270 10k R0805
R9 40.29 28.80 180 1M R0805
R10 29.69 20.67 180 10k R0805
R11 15.34 28.80   0 10k R0805
R12 15.34 26.77   0 10k R0805
R15 48.64 26.13   0 5k1 R0805
R16 48.64 20.00   0 5k1 R0805
R17 48.64 22.07   0 22 R0805
R18 48.64 24.10   0 22 R0805
R22 29.69 22.70 180 4k7 R0805
R23 29.69 24.73 180 4k7 R0805
R30 19.34 28.80 180 10k R0805
R31 19.34 30.86   0 10k R0805
RST 57.79 13.43  90 KMR221GLFS KMR221GLFS
U$8  9.36 21.05  90 JST_PH2 JSTPH2
U1 41.59 39.97 270 ESP32-S2-WROOM XCVR_ESP32-S2-WROOM
U2 24.61 21.69   0 AP2112K-3.3 SOT23-5
